Recipe_ID,Dish Name,Ingredients,Dietary Info,Category
22,Fish Curry (Meen Kuzhambu),"Fish, Tamarind, Garlic, Mustard seeds, Fenugreek, Curry leaves, Coconut",Non-Veg,Curry
23,Mutton Sukka,"Mutton, Onion, Curry leaves, Black pepper, Fennel seeds, Coconut",Non-Veg,Side Dish
24,Thalassery Biryani,"Basmati rice, Chicken, Yogurt, Onion, Tomato, Garam masala, Ghee, Saffron",Non-Veg,Rice
25,Parle-G Biscuit Cake,"Parle-G biscuits, Milk, Baking powder, Sugar, Cocoa powder (optional)",Veg,Cake
26,Marie Biscuit Pudding,"Marie biscuits, Milk, Sugar, Cocoa powder, Coffee powder (optional)",Veg,Dessert
27,Rusk (Indian Toast),"Wheat flour, Sugar, Baking powder, Milk powder, Butter",Veg,Baked Good
28,Atta Biscuits,"Whole wheat flour, Sugar, Ghee, Cardamom",Veg,Biscuit
29,Nankhatai,"Gram flour (Besan), All-purpose flour, Sugar, Ghee, Cardamom",Veg,Biscuit
30,Jeera Biscuits,"Wheat flour, Butter, Cumin seeds, Sugar, Baking soda",Veg,Biscuit
31,Chocolate Barfi,"Milk powder, Cocoa powder, Condensed milk, Sugar, Ghee",Veg,Sweet
32,Milk Barfi,"Milk powder, Sugar, Cardamom, Ghee",Veg,Sweet
33,Kaju Katli,"Cashew nuts, Sugar, Ghee",Veg,Sweet
34,Coconut Ladoo,"Desiccated coconut, Condensed milk, Sugar, Cardamom",Veg,Sweet
35,Til Chikki,"Sesame seeds, Jaggery, Ghee",Veg,Snack
36,Peanut Chikki,"Peanuts, Jaggery, Ghee",Veg,Snack
37,Ragi Cookies,"Ragi flour, Jaggery, Butter, Baking powder",Veg,Biscuit
38,Oats Laddu,"Oats, Jaggery, Ghee, Cardamom",Veg,Sweet
39,Besan Ladoo,"Gram flour, Sugar, Ghee",Veg,Sweet
40,Sooji Halwa Cake,"Semolina (Sooji), Sugar, Ghee, Cardamom",Veg,Cake
41,Peda,"Khoya (Mawa), Sugar, Cardamom",Veg,Sweet
42,Shakkar Para,"Wheat flour, Sugar, Ghee",Veg,Snack
43,Mathri,"Wheat flour, Cumin, Ajwain, Salt, Ghee",Veg,Snack
44,Baked Gujiya,"Whole wheat flour, Khoya, Dry fruits, Sugar",Veg,Baked Good
45,Dry Fruit Cake,"Wheat flour, Mixed nuts, Sugar, Baking powder",Veg,Cake
46,Rasgulla Chocolate Mousse,"Rasgulla, Cocoa powder, Fresh cream, Sugar",Veg,Dessert
47,Mango Fudge,"Mango pulp, Condensed milk, Sugar",Veg,Sweet
48,Choco Modak,"Milk powder, Cocoa powder, Sugar, Ghee",Veg,Sweet
49,Aloo Gobi,"Potatoes, Cauliflower, Tomatoes, Green Chilies, Ginger, Garlic, Cumin, Turmeric, Garam Masala",Veg,Curry
50,Baingan Bharta,"Roasted Eggplant, Tomatoes, Onion, Green Chilies, Garlic, Mustard Oil, Coriander, Cumin",Veg,Curry
51,Sarson da Saag,"Mustard Greens, Spinach, Cornmeal, Ginger, Garlic, Green Chilies, Ghee, Spices",Veg,Main
52,Palak Paneer,"Spinach, Paneer, Cream, Garlic, Tomatoes, Cashews, Cumin, Garam Masala",Veg,Curry
53,Bhindi Masala,"Okra, Onions, Tomatoes, Garlic, Ginger, Coriander Powder, Mustard Seeds, Green Chilies",Veg,Curry
54,Methi Thepla,"Fenugreek Leaves, Wheat Flour, Yogurt, Carom Seeds, Sesame Seeds, Green Chilies",Veg,Flatbread
55,Cabbage Thoran,"Cabbage, Coconut, Mustard Seeds, Green Chilies, Curry Leaves, Urad Dal, Turmeric",Veg,Side Dish
56,Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom, Cashews, Almonds, Raisins",Veg,Dessert
57,Tinda Masala,"Apple Gourd, Tomatoes, Onion, Ginger, Garlic, Cumin, Garam Masala",Veg,Curry
58,Lauki Kofta,"Bottle Gourd, Gram Flour, Spices, Tomatoes, Cashews, Cream, Cardamom",Veg,Curry
59,Pumpkin Sabzi,"Pumpkin, Jaggery, Green Chilies, Mustard Seeds, Hing, Curry Leaves",Veg,Side Dish
60,Undhiyu,"Mixed Winter Vegetables, Green Garlic, Methi, Banana, Yam, Peas, Spices",Veg,Curry
61,Chaulai Saag,"Amaranth Leaves, Garlic, Green Chilies, Mustard Oil, Cumin",Veg,Main
62,Beetroot Poriyal,"Beetroot, Coconut, Mustard Seeds, Curry Leaves, Green Chilies",Veg,Side Dish
63,Aloo Palak,"Potatoes, Spinach, Tomatoes, Garlic, Cumin, Hing, Kasuri Methi",Veg,Curry
64,Karela Sabzi,"Bitter Gourd, Onions, Tomatoes, Jaggery, Mustard Seeds, Fennel",Veg,Side Dish
65,Gongura Pachadi,"Gongura Leaves, Garlic, Red Chilies, Mustard Seeds, Tamarind",Veg,Pickle
66,Arbi Masala,"Colocasia (Taro Root), Tomatoes, Spices, Amchur, Ajwain",Veg,Curry
67,Banana Stem Curry,"Banana Stem, Coconut, Mustard Seeds, Spices, Turmeric, Moong Dal",Veg,Curry
68,Paruppu Keerai,"Lentils, Greens (Spinach/Amaranth), Garlic, Tamarind, Dry Red Chilies",Veg,Dal
69,Sprouted Moong Sabzi,"Sprouted Green Gram, Tomatoes, Hing, Mustard Seeds, Cumin",Veg,Side Dish
70,Dondakaya Fry,"Ivy Gourd, Onions, Curry Leaves, Green Chilies, Spices",Veg,Side Dish
71,Chana Saag,"Chickpeas, Spinach, Tomatoes, Garlic, Ginger, Whole Spices",Veg,Curry
72,Aviyal,"Mixed Vegetables, Coconut, Yogurt, Curry Leaves, Coconut Oil",Veg,Curry
73,Pudalangai Kootu,"Snake Gourd, Lentils, Coconut, Cumin, Curry Leaves, Mustard Seeds",Veg,Side Dish
74,Mushroom Masala,"Mushrooms, Onions, Tomatoes, Garlic, Ginger, Cashews, Cumin, Garam Masala",Veg,Curry
75,Mushroom Matar,"Mushrooms, Green Peas, Onion, Tomato, Cream, Spices",Veg,Curry
76,Mushroom Korma,"Mushrooms, Cashew Paste, Yogurt, Cardamom, Cinnamon, Coconut, Spices",Veg,Curry
77,Mushroom Biryani,"Mushrooms, Basmati Rice, Mint, Yogurt, Fried Onions, Whole Spices",Veg,Rice
78,Chettinad Mushroom,"Mushrooms, Black Pepper, Curry Leaves, Coconut, Mustard Seeds",Veg,Curry
79,Mushroom 65,"Mushrooms, Gram Flour, Corn Flour, Curd, Curry Leaves, Red Chili Powder",Veg,Appetizer
80,Stuffed Mushrooms,"Mushrooms, Cheese, Garlic, Herbs, Bread Crumbs, Green Chilies",Veg,Appetizer
81,Mushroom Tikka,"Mushrooms, Yogurt, Mustard Oil, Tandoori Masala, Kasuri Methi",Veg,Appetizer
82,Mushroom Do Pyaza,"Mushrooms, Double Onion, Green Chilies, Cumin, Ghee, Coriander Powder",Veg,Curry
83,Goan Mushroom Xacuti,"Mushrooms, Coconut, Poppy Seeds, Cloves, Tamarind, Green Chilies",Veg,Curry
84,Mango Lassi,"Ripe Mango, Yogurt, Sugar, Cardamom, Saffron",Veg,Beverage
85,Aamras,"Ripe Mango, Sugar, Cardamom",Veg,Dessert
86,Banana Sheera (Banana Halwa),"Ripe Banana, Semolina, Ghee, Cardamom, Sugar",Veg,Dessert
87,Pineapple Kesari,"Pineapple, Semolina, Ghee, Cashews, Saffron",Veg,Dessert
88,Anar Raita (Pomegranate Raita),"Pomegranate, Yogurt, Cumin, Coriander",Veg,Side Dish
89,Papaya Halwa,"Ripe Papaya, Ghee, Sugar, Cardamom, Dry Fruits",Veg,Dessert
90,Apple Kheer,"Apple, Milk, Sugar, Cardamom, Nuts",Veg,Dessert
91,Chikoo Milkshake,"Chikoo (Sapota), Milk, Sugar",Veg,Beverage
92,Strawberry Shrikhand,"Strawberry, Hung Curd, Sugar, Saffron",Veg,Dessert
93,Guava Chutney,"Guava, Green Chilies, Ginger, Cumin",Veg,Chutney
94,Bael Sharbat,"Bael (Wood Apple), Jaggery, Cardamom",Veg,Beverage
95,Jackfruit Biryani,"Raw Jackfruit, Basmati Rice, Yogurt, Whole Spices",Veg,Rice
96,Kathal (Jackfruit) Curry,"Jackfruit, Tomatoes, Onions, Spices",Veg,Curry
97,Jamun Juice,"Jamun (Black Plum), Lemon, Sugar",Veg,Beverage
98,Fig Barfi (Anjeer Barfi),"Dried Figs, Nuts, Ghee, Cardamom",Veg,Dessert
99,Grapes Pickle,"Green Grapes, Mustard, Red Chili Powder, Garlic",Veg,Pickle
100,Amla Murabba,"Indian Gooseberry, Sugar Syrup, Saffron",Veg,Preserve
101,Caramelized Pineapple,"Pineapple, Brown Sugar, Butter, Cinnamon",Veg,Dessert
102,Coconut Ladoo,"Grated Coconut, Condensed Milk, Cardamom",Veg,Dessert
103,Lychee Rabri,"Lychee, Milk, Saffron, Almonds",Veg,Dessert
104,Watermelon Mint Juice,"Watermelon, Mint, Lemon, Honey",Veg,Beverage
105,Musk Melon Sorbet,"Musk Melon, Sugar, Lemon",Veg,Dessert
106,Pear and Apple Chutney,"Pear, Apple, Jaggery, Ginger",Veg,Chutney
107,Orange Basundi,"Orange Segments, Milk, Condensed Milk, Cardamom",Veg,Dessert
108,Jamun (Black Plum) Juice,"Jamun (Black Plum), Lemon, Sugar",Veg,Beverage
109,Jamun Raita,"Jamun, Yogurt, Cumin, Black Salt",Veg,Side Dish
110,Jamun Kulfi,"Jamun Pulp, Milk, Condensed Milk, Cardamom",Veg,Dessert
111,Jamun Chutney,"Jamun, Tamarind, Jaggery, Red Chili Powder",Veg,Chutney
112,Jamun Sorbet,"Jamun, Sugar, Lemon Juice, Mint",Veg,Dessert
113,Amla (Indian Gooseberry) Murabba,"Amla, Sugar Syrup, Saffron",Veg,Preserve
114,Amla Candy,"Dried Amla, Sugar, Black Salt",Veg,Snack
115,Amla Pickle,"Amla, Mustard Seeds, Red Chili Powder, Oil",Veg,Pickle
116,Amla Chutney,"Amla, Green Chili, Coriander, Cumin",Veg,Chutney
117,Amla Juice,"Amla, Honey, Ginger",Veg,Beverage
118,Raspberry Shrikhand,"Raspberries, Hung Curd, Sugar, Cardamom",Veg,Dessert
119,Strawberry Lassi,"Strawberries, Yogurt, Sugar, Cardamom",Veg,Beverage
120,Strawberry Sandesh,"Strawberries, Paneer, Sugar, Cardamom",Veg,Dessert
121,Strawberry Kheer,"Strawberries, Milk, Rice, Sugar",Veg,Dessert
122,Mulberry Barfi,"Mulberries, Khoya, Sugar, Ghee",Veg,Dessert
123,Mulberry Ice Cream,"Mulberries, Cream, Sugar",Veg,Dessert
124,Blueberry Halwa,"Blueberries, Semolina, Ghee, Sugar",Veg,Dessert
125,Blueberry Ladoo,"Blueberries, Coconut, Condensed Milk",Veg,Dessert
126,Blackberry Sharbat,"Blackberries, Sugar, Lemon, Mint",Veg,Beverage
127,Blackberry Chutney,"Blackberries, Jaggery, Ginger, Red Chili",Veg,Chutney
128,Goji Berry Tea,"Goji Berries, Hot Water, Honey",Veg,Beverage
129,Goji Berry Kheer,"Goji Berries, Rice, Milk, Sugar",Veg,Dessert
130,Cranberry Pickle,"Cranberries, Mustard Seeds, Red Chili Powder, Oil",Veg,Pickle
131,Cranberry Chutney,"Cranberries, Tamarind, Jaggery, Ginger",Veg,Chutney
132,Kaju Katli,"Cashews, Sugar, Cardamom, Ghee",Veg,Dessert
133,Badam Halwa,"Almonds, Milk, Sugar, Saffron, Ghee",Veg,Dessert
134,Pista Kulfi,"Pistachios, Milk, Condensed Milk, Cardamom",Veg,Dessert
135,Peanut Chikki,"Peanuts, Jaggery, Cardamom",Veg,Sweet Snack
136,Sesame Tilgul,"Sesame Seeds, Jaggery, Cardamom",Veg,Sweet Snack
137,Til Ke Ladoo,"Sesame Seeds, Jaggery, Ghee",Veg,Dessert
138,Gond Ke Ladoo,"Edible Gum, Nuts (Almonds, Cashews), Jaggery, Ghee",Veg,Dessert
139,Dry Fruit Barfi,"Mixed Nuts (Almonds, Cashews, Walnuts), Dates, Ghee",Veg,Dessert
140,Panchmel Dal,"Lentils, Peanuts, Mustard Seeds, Cumin, Hing",Veg,Main
141,Peanut Sundal,"Peanuts, Mustard Seeds, Coconut, Curry Leaves",Veg,Snack
142,Badam Milk,"Almonds, Milk, Saffron, Cardamom, Sugar",Veg,Beverage
143,Khus Khus Kheer,"Poppy Seeds, Milk, Sugar, Cardamom",Veg,Dessert
144,Char Magaz Halwa,"Melon Seeds, Almonds, Cashews, Sugar, Ghee",Veg,Dessert
145,Foxnut (Makhana) Kheer,"Makhana, Milk, Sugar, Cardamom",Veg,Dessert
146,Makhana Namkeen,"Makhana, Peanuts, Curry Leaves, Rock Salt",Veg,Snack
147,Peanut Butter Chapati Rolls,"Peanuts, Honey, Wheat Flour, Ghee",Veg,Breakfast
148,Pumpkin Seed Chutney,"Pumpkin Seeds, Garlic, Tamarind, Red Chili",Veg,Chutney
149,Chia Seed Pudding,"Chia Seeds, Almond Milk, Honey, Fruits",Veg,Dessert
150,Flaxseed Chutney Powder,"Flaxseeds, Red Chili, Garlic, Jaggery",Veg,Chutney
151,Sunflower Seed Ladoo,"Sunflower Seeds, Dates, Coconut",Veg,Dessert
152,Walnut Halwa,"Walnuts, Sugar, Ghee, Cardamom",Veg,Dessert
153,Cashew Pulao,"Cashews, Basmati Rice, Saffron, Spices",Veg,Rice
154,Almond and Dates Smoothie,"Almonds, Dates, Milk, Honey",Veg,Beverage
155,Pistachio Rabri,"Pistachios, Milk, Sugar, Saffron",Veg,Dessert
156,Paneer Butter Masala,"Paneer, Butter, Tomatoes, Cashews, Spices",Veg,Curry
157,Shahi Paneer,"Paneer, Cream, Cashews, Tomatoes, Spices",Veg,Curry
158,Palak Paneer,"Paneer, Spinach, Garlic, Ginger, Spices",Veg,Curry
159,Kadhai Paneer,"Paneer, Bell Peppers, Tomatoes, Spices",Veg,Curry
160,Paneer Tikka,"Paneer, Yogurt, Spices, Bell Peppers, Onions",Veg,Appetizer
161,Chilli Paneer,"Paneer, Soy Sauce, Bell Peppers, Garlic, Chilies",Veg,Appetizer
162,Matar Paneer,"Paneer, Green Peas, Tomatoes, Spices",Veg,Curry
163,Paneer Bhurji,"Crumbled Paneer, Onions, Tomatoes, Spices",Veg,Breakfast
164,Paneer Pakora,"Paneer, Chickpea Flour, Spices, Oil",Veg,Snack
165,Paneer Paratha,"Paneer, Whole Wheat Flour, Spices",Veg,Breakfast
166,Paneer Kofta,"Paneer, Potatoes, Cashews, Spices, Cream",Veg,Curry
167,Paneer Pulao,"Paneer, Basmati Rice, Whole Spices",Veg,Rice
168,Cheese Garlic Naan,"Cheese, All-Purpose Flour, Garlic, Butter",Veg,Bread
169,Cheese Dosa,"Dosa Batter, Cheese, Butter, Spices",Veg,Breakfast
170,Paneer Dosa,"Dosa Batter, Paneer, Spices, Onion",Veg,Breakfast
171,Paneer Cutlet,"Paneer, Potatoes, Bread Crumbs, Spices",Veg,Snack
172,Cheese Pakora,"Cheese Cubes, Chickpea Flour, Spices, Oil",Veg,Snack
173,Mozzarella Samosa,"Mozzarella Cheese, Flour, Spices",Veg,Snack
174,Cheese Pav Bhaji,"Cheese, Mixed Vegetables, Pav Bread, Spices",Veg,Street Food
175,Cheese Chilli Toast,"Cheese, Bread, Green Chilies, Butter",Veg,Snack
176,Cheese Masala Maggi,"Cheese, Instant Noodles, Spices",Veg,Snack
177,Stuffed Paneer Kulcha,"Paneer, Flour, Spices, Butter",Veg,Bread
178,Cheesy Veg Frankie,"Cheese, Mixed Vegetables, Wrap",Veg,Street Food
179,Cheese Uttapam,"Uttapam Batter, Cheese, Onion, Tomato",Veg,Breakfast
180,Paneer Butter Masala,"Paneer, Butter, Cream, Tomatoes, Cashews, Spices",Veg,Curry
181,Shahi Paneer,"Paneer, Cream, Cashews, Tomatoes, Spices",Veg,Curry
182,Palak Paneer,"Paneer, Spinach, Garlic, Ginger, Spices",Veg,Curry
183,Kadhai Paneer,"Paneer, Bell Peppers, Tomatoes, Spices",Veg,Curry
184,Matar Paneer,"Paneer, Green Peas, Tomatoes, Spices",Veg,Curry
185,Paneer Kofta,"Paneer, Potatoes, Cashews, Spices, Cream",Veg,Curry
186,Cheese Pav Bhaji,"Cheese, Butter, Mixed Vegetables, Pav Bread, Spices",Veg,Street Food
187,Rasmalai,"Chhena (cottage cheese), Milk, Cardamom, Saffron, Sugar",Veg,Dessert
188,Rasgulla,"Chhena, Sugar Syrup, Cardamom",Veg,Dessert
189,Gulab Jamun,"Khoya (milk solids), Flour, Sugar Syrup",Veg,Dessert
190,Basundi,"Full-Fat Milk, Sugar, Cardamom, Nuts",Veg,Dessert
191,Rabri,"Milk, Sugar, Cardamom, Saffron, Nuts",Veg,Dessert
192,Mishti Doi,"Yogurt, Jaggery, Cardamom",Veg,Dessert
193,Lassi,"Yogurt, Sugar, Cardamom, Rose Water",Veg,Beverage
194,Chaas (Buttermilk),"Yogurt, Water, Cumin, Curry Leaves",Veg,Beverage
195,Masala Doodh,"Milk, Nuts, Cardamom, Saffron",Veg,Beverage
196,Egg Curry,"Eggs, Tomatoes, Onion, Spices",Non-Veg,Curry
197,Egg Bhurji,"Eggs, Onion, Green Chilies, Spices",Non-Veg,Breakfast
198,Egg Biryani,"Eggs, Basmati Rice, Whole Spices",Non-Veg,Rice
199,Egg Paratha,"Eggs, Whole Wheat Flour, Spices",Non-Veg,Breakfast
200,Cheese Omelette,"Eggs, Cheese, Onion, Butter",Non-Veg,Breakfast
201,Egg Fried Rice,"Eggs, Rice, Soy Sauce, Green Onion",Non-Veg,Rice
202,Egg Keema,"Boiled Eggs, Onion, Tomatoes, Spices",Non-Veg,Curry
203,Egg Manchurian,"Boiled Eggs, Soy Sauce, Chilies, Corn Flour",Non-Veg,Appetizer
204,Soya Chaap Masala,"Soya chaap, Onion, Tomato, Spices, Cashews",Veg,Curry
205,Vegan Butter Chicken,"Jackfruit, Coconut Milk, Tomato, Cashews, Spices",Vegan,Curry
206,Mushroom Masala,"Mushrooms, Onion, Tomato, Coconut Milk, Spices",Vegan,Curry
207,Baingan Bharta,"Roasted Eggplant, Onion, Tomato, Spices",Vegan,Curry
208,Soya Keema Matar,"Soya Granules, Green Peas, Tomatoes, Spices",Vegan,Curry
209,Vegan Kofta Curry,"Bottle Gourd, Gram Flour, Coconut Cream, Spices",Vegan,Curry
210,Vegan Dal Makhani,"Black Lentils, Red Kidney Beans, Coconut Milk, Spices",Vegan,Curry
211,Chickpea Tikka Masala,"Chickpeas, Tomato Gravy, Coconut Cream, Spices",Vegan,Curry
212,Tofu Bhurji,"Tofu, Onion, Tomatoes, Turmeric, Green Chilies",Vegan,Breakfast
213,Jackfruit Biryani,"Jackfruit, Basmati Rice, Whole Spices",Vegan,Rice
214,Soya Biryani,"Soya Chunks, Basmati Rice, Fried Onions, Spices",Vegan,Rice
215,Mushroom Pulao,"Mushrooms, Basmati Rice, Whole Spices",Vegan,Rice
216,Vegan Pav Bhaji,"Mixed Vegetables, Vegan Butter, Pav Bread, Spices",Vegan,Street Food
217,Vegan Dhokla,"Gram Flour, Fruit Salt, Lemon Juice",Vegan,Snack
218,Soya Kebab,"Soya Granules, Gram Flour, Spices",Vegan,Appetizer
219,Chickpea Cutlets,"Chickpeas, Bread Crumbs, Onion, Spices",Vegan,Appetizer
220,Banana Blossom Cutlet,"Banana Blossom, Gram Flour, Spices",Vegan,Appetizer
221,Vegan Malai Kofta,"Tofu, Potatoes, Cashews, Coconut Cream",Vegan,Curry
222,Jackfruit Tikka,"Jackfruit, Yogurt Substitute, Tandoori Spices",Vegan,Appetizer
223,Tofu Tikka,"Tofu, Vegan Yogurt, Spices",Vegan,Appetizer
224,Soya Seekh Kebab,"Soya Granules, Gram Flour, Spices",Vegan,Appetizer
225,Vegan Rajma Masala,"Red Kidney Beans, Tomatoes, Spices",Vegan,Curry
226,Vegan Kadhi Pakora,"Gram Flour, Coconut Yogurt, Mustard Seeds",Vegan,Curry
227,Vegan Kheer,"Rice, Almond Milk, Jaggery, Cardamom",Vegan,Dessert
228,Coconut Ladoo,"Grated Coconut, Jaggery, Cardamom",Vegan,Dessert
229,Chicken Biryani,"Chicken, Basmati Rice, Whole Spices (Cinnamon, Cloves, Cardamom), Yogurt, Saffron, Ghee, Fried Onions, Mint, Coriander, Green Chilies, Ginger-Garlic Paste",Non-Veg,Rice
230,Mutton Biryani,"Mutton, Basmati Rice, Saffron, Yogurt, Whole Spices, Bay Leaf, Mint, Fried Onions, Cashews, Ghee, Green Chilies, Lemon Juice",Non-Veg,Rice
231,Chicken Tikka,"Chicken, Yogurt, Red Chili Powder, Garam Masala, Ginger-Garlic Paste, Lemon Juice, Kasuri Methi, Mustard Oil, Black Salt, Butter",Non-Veg,Appetizer
232,Tandoori Chicken,"Chicken, Hung Curd, Kashmiri Chili Powder, Black Pepper, Roasted Cumin, Mustard Oil, Lemon Juice, Butter, Chaat Masala",Non-Veg,Appetizer
233,Mutton Rogan Josh,"Mutton, Kashmiri Red Chili, Yogurt, Fennel Powder, Cinnamon, Cardamom, Ginger Powder, Cloves, Mustard Oil",Non-Veg,Curry
234,Butter Chicken,"Chicken, Tomatoes, Cashew Paste, Cream, Butter, Garam Masala, Sugar, Kasuri Methi, Ginger-Garlic Paste, Honey",Non-Veg,Curry
235,Chicken Korma,"Chicken, Cashew Paste, Yogurt, Nutmeg, Mace, Saffron, Fried Onions, Almonds, Cloves, Cinnamon, Bay Leaf",Non-Veg,Curry
236,Mutton Korma,"Mutton, Cashews, Poppy Seeds, Fried Onions, Yogurt, Bay Leaf, Cardamom, Cloves, Ginger-Garlic Paste, Nutmeg, Ghee",Non-Veg,Curry
237,Keema Matar,"Minced Mutton, Green Peas, Onion, Tomato, Ginger-Garlic Paste, Garam Masala, Green Chilies, Bay Leaf, Cloves",Non-Veg,Curry
238,Chicken Chettinad,"Chicken, Coconut, Black Pepper, Fennel Seeds, Curry Leaves, Tamarind, Cloves, Cardamom, Star Anise",Non-Veg,Curry
239,Hyderabadi Haleem,"Mutton, Wheat, Lentils (Chana, Moong, Masoor), Ghee, Garam Masala, Fried Onions, Ginger, Green Chilies, Cashews",Non-Veg,Main
240,Mughlai Paratha,"Minced Meat, Egg, Flour, Green Chilies, Coriander, Cumin, Black Pepper, Onions",Non-Veg,Bread
241,Laal Maas,"Mutton, Kashmiri Chili, Garlic Paste, Mustard Oil, Cloves, Black Pepper, Yogurt, Bay Leaf",Non-Veg,Curry
242,Bhuna Gosht,"Mutton, Tomatoes, Onion, Ginger-Garlic Paste, Spices (Garam Masala, Cloves, Cardamom, Cinnamon), Coriander Leaves",Non-Veg,Curry
243,Paya Soup,"Goat Trotters, Ginger, Garlic, Turmeric, Cloves, Cardamom, Cinnamon, Black Pepper, Curry Leaves, Ghee",Non-Veg,Soup
244,Chicken 65,"Boneless Chicken, Corn Flour, Curry Leaves, Ginger-Garlic Paste, Kashmiri Chili, Black Pepper, Vinegar",Non-Veg,Appetizer
245,Mutton Fry,"Mutton, Curry Leaves, Black Pepper, Garlic, Coriander, Dry Red Chilies, Mustard Seeds",Non-Veg,Appetizer
246,Egg Curry,"Boiled Eggs, Onion-Tomato Gravy, Spices (Coriander Powder, Turmeric, Red Chili Powder), Curry Leaves",Non-Veg,Curry
247,Egg Bhurji,"Eggs, Onion, Tomato, Green Chilies, Butter, Black Pepper, Coriander Leaves, Garam Masala",Non-Veg,Breakfast
248,Goan Prawn Curry,"Prawns, Coconut Milk, Kokum, Mustard Seeds, Curry Leaves, Turmeric, Green Chilies",Non-Veg,Curry
249,Fish Curry,"Fish, Tamarind, Coconut, Mustard Seeds, Fenugreek, Dry Red Chilies, Garlic, Turmeric",Non-Veg,Curry
250,Malabar Fish Curry,"Kingfish, Coconut, Tamarind, Curry Leaves, Mustard Seeds, Dry Red Chilies, Green Chilies",Non-Veg,Curry
251,Prawns Masala,"Prawns, Onion, Tomato, Mustard Seeds, Green Chilies, Coconut, Garam Masala, Lemon Juice",Non-Veg,Curry
252,Tandoori Fish,"Fish Fillets, Yogurt, Tandoori Masala, Lemon Juice, Garlic, Red Chili Powder, Black Salt, Butter",Non-Veg,Appetizer
253,Mutton Sukka,"Dry Spiced Mutton, Coconut, Curry Leaves, Green Chilies, Black Pepper, Cloves, Mustard Seeds",Non-Veg,Curry
254,Chicken Biryani,"Chicken, Basmati Rice, Whole Spices (Cinnamon, Cloves, Cardamom, Star Anise, Bay Leaf), Yogurt, Saffron, Ghee, Fried Onions, Mint, Coriander, Green Chilies, Ginger-Garlic Paste, Lemon Juice",Non-Veg,Rice
255,Hyderabadi Chicken Biryani,"Chicken, Basmati Rice, Kewra Water, Saffron, Fried Onions, Ghee, Whole Spices, Yogurt, Mint, Coriander, Green Chilies",Non-Veg,Rice
256,Butter Chicken (Murgh Makhani),"Chicken, Tomatoes, Cashew Paste, Cream, Butter, Garam Masala, Honey, Kasuri Methi, Ginger-Garlic Paste, Kashmiri Chili Powder",Non-Veg,Curry
257,Chicken Tikka Masala,"Boneless Chicken, Yogurt, Tomato Puree, Cream, Butter, Garam Masala, Green Chilies, Kasuri Methi, Roasted Cumin",Non-Veg,Curry
258,Tandoori Chicken,"Chicken, Hung Curd, Kashmiri Chili Powder, Black Pepper, Roasted Cumin, Mustard Oil, Lemon Juice, Butter, Chaat Masala",Non-Veg,Appetizer
